brand,model_family_clean,model_firstreg_total_2014_2026,model_firstreg_year_span,model_firstreg_peak_year,model_firstreg_peak_count,model_firstreg_recent_share,model_firstreg_old_share,model_firstreg_weighted_year
land rover,defender 130,1,0.0,2014.0,1,0.0,1.0,2014.0
land rover,discovery,137,8.0,2017.0,36,0.029197080291970802,0.8467153284671532,2016.846715328467
land rover,discovery 4,2,0.0,2014.0,2,0.0,1.0,2014.0
land rover,discovery sport,648,10.0,2016.0,125,0.38580246913580246,0.49691358024691357,2018.9475308641975
land rover,freelander 2,10,0.0,2014.0,10,0.0,1.0,2014.0
land rover,range rover,333,9.0,2023.0,87,0.6486486486486487,0.13213213213213212,2021.7387387387387
land rover,range rover evoque,727,11.0,2014.0,86,0.33012379642365886,0.5350756533700137,2018.5048143053646
land rover,range rover sport,957,11.0,2023.0,150,0.5329153605015674,0.24242424242424243,2020.6833855799373
land rover,range rover velar,239,8.0,2018.0,45,0.5481171548117155,0.3514644351464435,2020.8535564853557
land rover,regular station wagon,1,0.0,2018.0,1,0.0,1.0,2018.0
lexus,ct200h,325,6.0,2014.0,64,0.0,0.8276923076923077,2016.4153846153847
lexus,es300h,370,7.0,2019.0,66,0.6486486486486487,0.008108108108108109,2021.6513513513514
lexus,gs300h,29,4.0,2014.0,8,0.0,1.0,2015.896551724138
lexus,gs450h,9,4.0,2014.0,3,0.0,1.0,2015.4444444444443
lexus,is300h,464,6.0,2017.0,98,0.0,0.8512931034482759,2016.5991379310344
lexus,lbx,372,1.0,2025.0,199,1.0,0.0,2024.534946236559
lexus,lc500h,8,5.0,2017.0,3,0.125,0.75,2018.25
lexus,ls500h,2,1.0,2018.0,1,0.0,0.5,2018.5
lexus,ls600h,1,0.0,2016.0,1,0.0,1.0,2016.0
lexus,nx300h,598,8.0,2018.0,115,0.12876254180602006,0.6086956521739131,2017.88127090301
lexus,nx350h,31,2.0,2022.0,18,1.0,0.0,2022.4516129032259
lexus,nx450h+,486,3.0,2023.0,172,1.0,0.0,2023.4958847736625
lexus,rc300h,64,4.0,2017.0,21,0.0,0.78125,2017.4375
lexus,rx450h,203,8.0,2017.0,50,0.10837438423645321,0.6650246305418719,2017.704433497537
lexus,rx450h+,92,2.0,2023.0,52,1.0,0.0,2023.5869565217392
lexus,rx450hl,4,1.0,2019.0,3,0.0,0.25,2018.75
lexus,rx500h,6,1.0,2023.0,3,1.0,0.0,2023.5
lexus,rz300e,22,1.0,2025.0,16,1.0,0.0,2024.7272727272727
lexus,rz450e,86,2.0,2023.0,48,1.0,0.0,2023.6162790697674
lexus,ux250h,462,5.0,2019.0,108,0.5606060606060606,0.0,2020.9978354978355
lexus,ux300e,41,3.0,2021.0,15,1.0,0.0,2022.2926829268292
lexus,ux300h,44,1.0,2025.0,26,1.0,0.0,2024.590909090909
man,tge,204,6.0,2025.0,54,0.9264705882352942,0.0,2023.1225490196077
man,tgl,2,1.0,2022.0,1,1.0,0.0,2022.5
maserati,ghibli,5,6.0,2014.0,2,0.0,0.6,2016.4
maserati,grancabrio,4,1.0,2024.0,2,1.0,0.0,2024.5
maserati,granturismo,1,0.0,2024.0,1,1.0,0.0,2024.0
maserati,grecale,9,2.0,2024.0,5,1.0,0.0,2024.0
maserati,levante,13,6.0,2017.0,8,0.07692307692307693,0.9230769230769231,2017.5384615384614
maserati,quattroporte,2,0.0,2014.0,2,0.0,1.0,2014.0
maxus,edeliver,2,0.0,2022.0,2,1.0,0.0,2022.0
