brand,brand_total_registered,brand_median_vehicle_age,brand_mean_vehicle_age,brand_median_mileage,brand_mean_mileage,brand_median_engine_cc,brand_median_power_kw,brand_median_mass_kg,brand_share_of_market,brand_share_over_10y,brand_share_over_200k_km,brand_automatic_share,brand_petrol_share,brand_diesel_share,brand_ev_share,brand_hybrid_share,brand_turbo_share
fendt,4,16.0,15.75,116469.0,121021.0,2198.0,99.5,3154.0,1.5594164975349524e-06,1.0,0.25,0.0,0.0,1.0,0.0,0.0,1.0
humber,4,64.0,66.0,48241.0,44170.0,1929.5,42.0,1230.0,1.5594164975349524e-06,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0
uaz,4,26.0,28.75,25188.5,39376.25,2442.5,61.0,1575.0,1.5594164975349524e-06,1.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
renault theault,4,17.5,17.5,233552.5,233998.0,2500.0,107.0,2735.0,1.5594164975349524e-06,1.0,0.75,0.0,0.0,1.0,0.0,0.0,1.0
fiat ducato,4,22.5,23.75,251319.0,289438.75,2800.0,94.0,2810.0,1.5594164975349524e-06,1.0,0.75,0.0,0.0,1.0,0.0,0.0,1.0
pmc,4,47.0,47.0,65648.5,59215.5,1980.0,78.0,1380.0,1.5594164975349524e-06,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
citroen-dethleffs/globecar,4,16.5,12.75,186697.5,169970.75,2598.5,109.25,2910.0,1.5594164975349524e-06,0.75,0.5,0.0,0.0,1.0,0.0,0.0,0.75
fiat-eura mobil,4,19.5,21.0,178860.5,176494.0,2550.0,92.0,3045.0,1.5594164975349524e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
wolseley,4,26.0,34.666666666666664,41124.5,41356.0,2200.0,46.0,1315.0,1.5594164975349524e-06,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiat-clou,4,34.0,34.25,176197.5,153238.75,2440.0,68.0,2960.0,1.5594164975349524e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25
dodge brothers,4,31.0,21.33333333333333,40805.5,40805.5,3500.0,30.0,1322.5,1.5594164975349524e-06,0.5,0.0,0.25,1.0,0.0,0.0,0.0,0.25
ford-matkaaja,4,35.0,34.5,60952.5,62180.0,2490.0,51.0,2330.0,1.5594164975349524e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75
fiat-arto,4,17.0,17.25,129953.5,138623.5,2899.5,104.75,3144.5,1.5594164975349524e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
vw-karmann,4,33.0,30.5,171269.5,153436.0,2375.0,75.0,2280.0,1.5594164975349524e-06,1.0,0.0,0.0,0.25,0.75,0.0,0.0,0.75
mercedes-benz-james cook,4,17.0,19.5,228427.0,217533.25,2932.0,135.0,3115.0,1.5594164975349524e-06,1.0,0.75,0.75,0.0,1.0,0.0,0.0,1.0
mb-karmann,4,35.0,34.75,240198.5,212432.25,2390.0,53.0,2435.0,1.5594164975349524e-06,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0
paragan,4,12.0,12.0,133669.5,146727.5,2299.0,108.5,2630.0,1.5594164975349524e-06,1.0,0.25,0.0,0.0,1.0,0.0,0.0,1.0
