part_name,brand,model,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
hand brake lever -,skoda,octavia,28,5,"53597130, 53847965, 53882587, 54440392, 63124125",59.2,53.1,59.5,5.6
ignition diesel relay -,skoda,octavia,28,5,"55136030, 62013012, 62013022, 62013028, 64632985",29.6,29.5,29.8,5.6
"ignition diesel relay - , e-",vw,golf,28,5,"54038732, 54064944, 54427678, 54506084, 54547761",35.4,5.9,38.1,5.6
komfort styrdon -,skoda,octavia,28,5,"54432495, 55039443, 62638840, 62886295, 64295714",224.55,212.4,238.0,5.6
other control unit -,skoda,octavia,28,5,"53519269, 53590727, 54410190, 56649098, 56649099",237.1,235.9,249.9,5.6
"other control unit - , e-",vw,golf,28,5,"53415853, 54070103, 54442843, 61385413, 66431289",260.75,240.9,308.4,5.6
"rear sensor - , e-",vw,golf,28,5,"53940481, 54042782, 54042783, 57388462, 64521531",59.5,59.0,119.0,5.6
sump -,skoda,octavia,28,5,"53810040, 60439527, 64643597, 64902844, 66401424",106.69999999999999,95.2,119.0,5.6
"cam belt / transmission cap - , e-",vw,golf,27,5,"54090871, 54244928, 54274286, 54286424, 66891089",11.9,9.5,17.8,5.4
"deliverer - , e-",vw,golf,27,5,"55328011, 55328012, 64863773, 64863775, 64863779",236.0,159.3,238.0,5.4
"insp.pump diesel control unit - , e-",vw,golf,27,5,"53432419, 54055672, 54055876, 54429604, 54447678",425.7,412.8,452.2,5.4
rain sensor -,skoda,octavia,27,5,"53453680, 53992837, 54483957, 58994424, 64636107",94.6,94.4,95.2,5.4
"rear axle beam - , e-",vw,golf,27,5,"54035214, 54245153, 54253106, 54315789, 60228190",362.3,353.8,368.9,5.4
adaptiv farthållare sensor -,skoda,octavia,26,5,"54109610, 56026114, 63620454, 65781920, 66402915",401.0,392.2,409.0,5.2
"inter axle compl. - , e-",vw,golf,26,5,"54398358, 54398390, 59328519, 60073930, 63589705",428.4,424.6,476.0,5.2
brake caliper -(left rear),skoda,octavia,25,5,"53380463, 53493733, 62238839, 62502054, 64594084",177.0,153.4,178.5,5.0
brake intensity regulator -,toyota,corolla,25,5,"54574587, 54579182, 54580238, 54597165, 54617886",47.4,47.2,47.6,5.0
"diesel injection pump - , e-",vw,golf,25,5,"53523674, 53679613, 54309282, 57733393, 60553538",301.9,177.0,333.2,5.0
"fuel distributor - , e-",vw,golf,25,5,"53477126, 54250831, 54250832, 54267520, 62199608",95.2,94.4,113.0,5.0
other sensor -,skoda,octavia,25,5,"54618191, 54638958, 54650190, 54679054, 54687528",35.6,35.4,47.4,5.0
