model_type,feature_variant,config_name,target_mode,feature_count,best_iteration,validation_MAE,validation_RMSE,validation_R2
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_003,raw,65,1317,26.548995075033854,74.29672665843987,0.9828289947976876
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_001,raw,39,1692,26.577645282734068,91.5684732201123,0.9739175546909656
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_021,log,65,745,26.651906314055605,84.34948600871391,0.9778679704962333
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_015,raw,65,2516,26.741359891829372,60.833764947341066,0.9884881333496177
xgboost,trusted_recommended_features,random_search_020,raw,67,1344,26.7660107749817,93.71167368595674,0.97268232409361
xgboost,trusted_extended_traficom_stack,random_search_016,log,62,1817,26.78905865076201,72.95302512380032,0.9834444745126653
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_016,log,65,1817,26.847518481046933,68.49872529674303,0.9854044206319668
xgboost,trusted_registry_lifecycle_stack,random_search_022,log,40,1171,26.958606411754708,100.02799978519172,0.968875704606339
xgboost,trusted_registry_lifecycle_stack,random_search_021,log,40,1399,26.983521322717653,93.16453002330955,0.9730003860572383
xgboost,trusted_extended_traficom_stack,random_search_020,raw,62,679,27.092483296007572,98.48217167920328,0.9698302582137404
xgboost,trusted_recommended_features_without_date_offsets,random_search_017,raw,66,1701,27.163501636060193,89.05487689014201,0.9753298508765201
xgboost,trusted_registry_lifecycle_stack,raw_sqerror_reference,raw,40,1797,27.185753926558913,67.28699988333884,0.9859162376142956
xgboost,trusted_registry_lifecycle_stack,random_search_002,raw,40,1412,27.199947292583097,79.81688984525002,0.9801826325773957
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,raw_absoluteerror_balanced,raw,65,1799,27.226550295679015,108.33225952763343,0.963493351656543
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_019,raw,63,1754,27.30675761085632,59.69691572647198,0.9889143759347173
xgboost,trusted_extended_traficom_stack,random_search_019,raw,62,1754,27.328191849577,61.010429701259454,0.9884211740173696
xgboost,trusted_registry_lifecycle_stack,random_search_016,log,40,774,27.40734407389877,85.4568415040588,0.9772830493881693
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_008,raw,63,1381,27.484234524281366,81.7876615573569,0.979191923214574
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_006,raw,39,2302,27.502898535719986,92.26906881116001,0.9735169113174424
xgboost,trusted_registry_lifecycle_stack,random_search_008,raw,40,1189,27.514841455309398,73.16931800744572,0.98334616054623
xgboost,trusted_extended_traficom_stack,random_search_008,raw,62,1424,27.565449537025398,84.45150725781149,0.9778144004533835
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_014,raw,63,2282,27.573151733777877,81.43670273178186,0.9793701190349683
xgboost,trusted_recommended_features_without_date_offsets,random_search_021,log,66,1432,27.581647893580843,88.2591532630718,0.9757687469686579
xgboost,trusted_recommended_features_without_date_offsets,raw_sqerror_reference,raw,66,1789,27.653080405308128,78.45363816525655,0.9808538024477376
