seed,row_balance_score,price_balance_score,combined_score,max_row_pct_deviation,train_rows,train_row_pct,train_components,train_price_mean,train_price_median,validation_rows,validation_row_pct,validation_components,validation_price_mean,validation_price_median,test_rows,test_row_pct,test_components,test_price_mean,test_price_median
60,0.3232929953184378,0.709785672133477,1.0330786674519148,0.1616464976592198,7943,70.16164649765922,477,251.36885307818204,118.4,1686,14.892677325324618,202,360.09223013048637,94.4,1692,14.945676177016164,207,272.9793735224586,94.4
35,0.18196272414098047,0.8573664571586738,1.0393291812996543,0.09098136207049379,7935,70.0909813620705,499,279.4141902961563,106.7,1693,14.954509318964757,205,155.49852333136445,94.7,1693,14.954509318964757,182,345.6637920850561,100.2
22,0.08568147690133365,0.9769371896878285,1.0626186665891622,0.04284073845066594,7921,69.96731737479021,477,303.6531119808105,112.1,1697,14.98984188675912,198,204.70082498526813,100.5,1703,15.042840738450666,211,183.7967116852613,83.0
5,0.10864764596767706,0.957634913704259,1.066282559671936,0.05432382298383587,7930,70.04681565232754,515,291.30590163934426,118.6,1692,14.945676177016164,179,242.5598108747045,71.4,1699,15.007508170656303,192,203.1503237198352,94.7
98,0.19167918028442266,0.8959082115244889,1.0875873918089116,0.09583959014221222,7918,69.94081794894444,499,288.99350846173274,118.3,1694,14.963342460913347,182,244.90962219598583,84.05,1709,15.095839590142212,205,212.1076067875951,82.9
86,0.058298736860704636,1.0605874504086379,1.1188861872693425,0.029149368430353206,7928,70.02914936843035,516,282.89689707366296,117.9,1697,14.98984188675912,181,172.40683559222157,85.1,1696,14.981008744810529,189,312.6405660377359,83.3
94,0.11129758855225091,1.0179179635440565,1.1292155520963074,0.05564879427612368,7931,70.05564879427612,514,277.6322027487076,130.2,1695,14.972175602861936,181,301.298820058997,94.4,1695,14.972175602861936,191,208.2695575221239,71.1
91,0.3860083031534316,0.7543421322146583,1.1403504353680898,0.1930041515767158,7916,69.92315166504726,491,295.5204269833249,106.6,1685,14.883844183376027,202,189.21804154302671,88.5,1720,15.193004151576716,193,236.88796511627908,94.9
1,0.14663015634661392,1.0000349424680213,1.1466650988146352,0.07331507817330873,7933,70.07331507817331,466,285.9381066431363,119.0,1694,14.963342460913347,204,300.02697756788666,94.6,1694,14.963342460913347,216,170.61788665879575,78.1
80,0.09363130465506941,1.0594453612353378,1.1530766658904072,0.04681565232753826,7930,70.04681565232754,492,302.0969104665826,118.4,1693,14.954509318964757,199,149.16261075014765,84.1,1698,14.998675028707712,195,245.85312131919903,94.4
14,0.19697906545358457,0.9703055035765622,1.1672845690301468,0.09848953272678962,7933,70.07331507817331,493,292.2009580234464,118.3,1701,15.025174454553486,189,256.23280423280426,95.2,1687,14.90151046727321,204,184.7879075281565,71.4
73,0.2270117480787892,0.9403203025288945,1.1673320506076839,0.1135058740393955,7918,69.94081794894444,495,284.3997600404142,118.3,1692,14.945676177016164,189,182.22789598108744,76.7,1711,15.113505874039395,202,295.3901227352425,94.7
39,0.05564879427613256,1.118079874622926,1.1737286688990585,0.027824397138063617,7925,70.00264994258458,484,304.90752050473185,118.0,1701,15.025174454553486,208,228.00805408583187,94.7,1695,14.972175602861936,194,154.2097935103245,83.3
48,0.17401289638724649,1.0062771578819814,1.1802900542692278,0.08700644819362147,7919,69.94965109089303,508,299.2535042303321,118.5,1708,15.087006448193621,201,214.1327868852459,83.3,1694,14.963342460913347,177,194.8595631641086,94.4
26,0.0909813620704849,1.094624161795352,1.185605523865837,0.04549068103524334,7929,70.03798251037894,513,309.03623407743726,118.0,1693,14.954509318964757,180,193.25310100413466,94.7,1699,15.007508170656303,193,169.5665685697469,94.4
57,0.03798251037894751,1.1527438237057577,1.1907263340847052,0.01899125518947109,7925,70.00264994258458,469,307.02822712933755,118.0,1700,15.016341312604894,190,209.81423529411765,106.6,1696,14.981008744810529,227,162.58048349056602,84.35
40,0.13868032859288526,1.0533270544582323,1.1920073830511175,0.06934016429644174,7919,69.94965109089303,476,298.9545018310393,123.8,1696,14.981008744810529,203,255.3308962264151,94.7,1706,15.069340164296442,207,155.42643610785464,82.8
