seed,split,mean,median,std,min,max,p25,p75
56,validation,211.8514705882353,94.4,521.2099155428893,5.9,4391.1,47.4,177.6
56,test,236.12542772861354,100.5,554.975878973194,5.9,4641.0,59.0,204.95
57,train,307.02822712933755,118.0,673.7142032735595,5.9,4641.0,56.3,237.1
57,validation,209.81423529411765,106.6,400.8903636239717,5.9,4641.0,59.0,235.925
57,test,162.58048349056602,84.35,366.7350955112534,5.9,3986.5,47.4,160.1
58,train,291.3500189226694,106.1,642.2834169180544,5.9,4641.0,55.4,237.1
58,validation,242.46448763250885,94.8,554.2780899148868,5.9,4391.1,59.0,235.9
58,test,203.05607311320753,94.9,441.69631565922145,5.9,3064.3,47.6,187.05
59,train,307.05955808080813,106.8,686.760080581931,5.9,4641.0,56.2,236.8
59,validation,189.5040636042403,115.2,304.4963232798736,5.9,4165.0,59.2,189.4
59,test,183.1648854961832,71.2,348.96931425486633,5.9,3927.0,47.4,201.6
60,train,251.36885307818204,118.4,514.5603319701697,5.9,4641.0,56.2,236.8
60,validation,360.09223013048637,94.4,811.132909117941,11.8,4391.1,50.4,230.075
60,test,272.9793735224586,94.4,732.1068417365098,5.9,4641.0,53.4,177.9
61,train,287.18971443012384,128.85000000000002,621.57063049373,5.9,4641.0,53.5,237.1
61,validation,302.868992248062,83.7,764.262797102907,5.9,4165.0,59.1,142.8
61,test,164.675549132948,94.4,207.95018853406336,5.9,2960.0,47.4,219.0
62,train,277.58163110718345,124.9,586.2108042137534,5.9,4641.0,59.0,237.1
62,validation,275.62047058823526,94.4,635.3790350953848,5.9,4641.0,47.6,212.4
62,test,234.31794117647058,82.6,652.7978906796543,5.9,4391.1,47.3,165.2
63,train,294.36123453673315,123.9,629.8514762118459,5.9,4641.0,59.0,238.0
63,validation,116.46238964096527,72.4,135.2478704837003,11.8,2960.0,47.4,142.1
63,test,315.18829411764705,94.7,732.8970059486253,14.2,4391.1,47.6,219.1
64,train,302.95004408615694,117.9,674.5223297633621,5.9,4641.0,59.0,236.8
64,validation,222.01668639053256,84.5,445.46435615519493,5.9,3927.0,47.6,234.425
64,test,168.61158392434987,94.4,305.2316950448265,5.9,4165.0,47.4,177.9
65,train,292.9254405840886,117.9,652.3068266704861,5.9,4641.0,56.5,236.5
65,validation,209.13812907045588,83.8,461.1162342957516,5.9,4165.0,47.6,190.4
65,test,228.3088862559242,94.75,475.96844817217385,5.9,4641.0,47.6,224.2
66,train,290.6199293197022,118.0,652.3817907709082,5.9,4641.0,59.0,236.5
66,validation,246.23615520282186,82.9,571.4336957916902,5.9,4641.0,47.4,190.4
66,test,202.82262816735417,94.4,339.53889606419796,11.8,3986.5,53.1,201.7
