product_id,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
54429604,6,426.1,425.95,1.3216,1.7467,0.0031,424.6,428.4,3.8
54447678,6,426.1,425.95,1.3216,1.7467,0.0031,424.6,428.4,3.8
58798477,6,426.1,425.95,1.3216,1.7467,0.0031,424.6,428.4,3.8
59757960,6,426.1,425.95,1.3216,1.7467,0.0031,424.6,428.4,3.8
54666191,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
55173603,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
59259235,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
60188260,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
63305368,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
63350257,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
64546427,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
64546672,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
65151598,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
65680830,6,414.45,414.65,1.2971,1.6825,0.0031,412.8,416.5,3.7
53932799,6,414.2833,414.15,1.2928,1.6714,0.0031,412.8,416.5,3.7
54055672,6,414.2833,414.15,1.2928,1.6714,0.0031,412.8,416.5,3.7
54055876,6,414.2833,414.15,1.2928,1.6714,0.0031,412.8,416.5,3.7
62701480,6,414.2833,414.15,1.2928,1.6714,0.0031,412.8,416.5,3.7
62896866,6,414.2833,414.15,1.2928,1.6714,0.0031,412.8,416.5,3.7
63197509,6,414.2833,414.15,1.2928,1.6714,0.0031,412.8,416.5,3.7
66432442,6,414.2833,414.15,1.2928,1.6714,0.0031,412.8,416.5,3.7
66459895,6,414.2833,414.15,1.2928,1.6714,0.0031,412.8,416.5,3.7
56026114,6,402.6167,402.85,1.2615,1.5914,0.0031,401.0,404.6,3.6
60721444,6,402.45,402.35,1.2527,1.5692,0.0031,401.0,404.6,3.6
65126978,6,402.45,402.35,1.2527,1.5692,0.0031,401.0,404.6,3.6
54398390,5,426.4,426.2,1.2474,1.556,0.0029,424.7,428.4,3.7
54440014,3,474.5,474.5,1.2247,1.5,0.0026,473.0,476.0,3.0
65781920,6,393.75,393.95,1.2203,1.4892,0.0031,392.2,395.7,3.5
66402915,6,393.75,393.95,1.2203,1.4892,0.0031,392.2,395.7,3.5
