product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
54252635,Curtain airbags -(Right),183.5,A1,2013-2020,FI09389104A,,41000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
53604578,Curtain airbags -(Right),177.6,A2,2013-2020,FI02042722A,,119000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
59583068,Curtain airbags -(Right),177.6,A2,2013-2020,FI09515254A,,90000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
60484610,Curtain airbags -(Right),157.5,A2,2013-2020,FI06509801A,,90000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
60484632,Curtain airbags -(Left),157.5,A2,2013-2020,FI06509801A,,90000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
54465870,Curtain airbags -(Left),165.8,A2,2013-2020,FI06018105A,,216000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
54465879,Curtain airbags -(Right),165.8,A2,2013-2020,FI06018105A,,216000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
55801315,Curtain airbags -(Right),142.1,A2,2013-2020,FI27837687A,,159000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
53392047,Curtain airbags -(Left),142.1,A2,2013-2020,FI27837687A,,179000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
53418798,Curtain airbags -(Right),142.1,A2,2013-2020,FI27837687A,,179000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
65114235,Curtain airbags -(Right),94.7,A2,2013-2020,FI32037991A,,262000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
61419035,Curtain airbags -(Right),90.0,A2,2013-2020,FI07713839A,,178000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
61971023,Curtain airbags -(Right),94.7,A2,2013-2020,FI06292622A,,374000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
54450558,Curtain airbags -(Right),84.4,A2,2013-2020,FI06509801A,,145000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
54450559,Curtain airbags -(Left),84.4,A2,2013-2020,FI06509801A,,145000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
53938328,Roof assembled -(Right),142.1,A2,2005-2013,FI05351686A,,90000,Skoda,Octavia,Airbag,Roof assembled,2026-02-03,2026-02-03T13:13:31+02:00
53938783,Roof assembled -(Left),142.1,A2,2005-2013,FI05351686A,,29000,Skoda,Octavia,Airbag,Roof assembled,2026-02-03,2026-02-03T13:13:31+02:00
54057262,Side airbags -(Left),82.9,A2,2005-2013,FI10331575A,,433000,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
54080780,Side airbags -(Right),94.7,A2,2005-2013,FI08409732A,,327000,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
54061739,Side airbags -(Right),82.9,A2,2005-2013,FI10331575A,,302000,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
54061753,Side airbags -(Right),82.9,A2,2005-2013,FI10331575A,,433000,Skoda,Octavia,Airbag,Right,2026-02-03,2026-02-03T13:13:31+02:00
62513344,Side airbags -(Right),177.6,A2,2013-2020,FI24637030A,04L,354000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
60482533,Side airbags -(Left rear),157.5,A2,2013-2020,FI06509801A,,90000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
60482540,Side airbags -(Right rear),157.5,A2,2013-2020,FI06509801A,,90000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
56982221,Side airbags -(Right),142.1,A2,2013-2020,FI06292622A,,46000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
65114420,Side airbags -(Right),142.1,A2,2013-2020,FI32037991A,,195000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
65114421,Side airbags -(Left),142.1,A2,2013-2020,FI32037991A,,195000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
66430884,Side airbags -(Left),142.1,A2,2013-2020,FI32037991A,,273000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
66430893,Side airbags -(Right),142.1,A2,2013-2020,FI32037991A,,273000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
54079757,Side airbags -(Left),94.7,A2,2005-2013,FI08409732A,,327000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
